"ym","X","Y","eps"
"2010_5",-93.619754,42.054035,0.0654840797024235
"2006_5",-93.618462,42.053406,-0.0549027061025993
"2006_8",-93.618182,42.053327,-0.00327320913661079
"2009_10",-93.6188955,42.0530363,-0.0679435951440239
"2006_6",-93.6192621,42.0531078,-0.0707214642693949
"2006_10",-93.616439,42.052519,0.0441848724248231
"2010_6",-93.619756,42.053014,-0.199848097112551
"2010_6",-93.6193873,42.052659,0.00622277026096516
"2008_5",-93.6188286,42.0525525,0.0462322730242353
"2009_6",-93.619562,42.05139,-0.0878581729386858
"2007_3",-93.618504,42.051297,-0.068729623236507
"2007_4",-93.618503,42.051357,-0.0724740892781726
"2010_4",-93.61732,42.051245,-0.0704756186646803
"2008_5",-93.6163289,42.051446,0.164758491604193
"2006_3",-93.617432,42.050507,-0.0974359398885801
"2008_6",-93.617424,42.049587,0.0584368023217984
"2009_7",-93.615524,42.049322,0.0560927754823677
"2007_2",-93.617273,42.049671,-0.0033435344349487
"2007_10",-93.61728,42.050443,-0.0365253667013503
"2010_3",-93.638933,42.060899,0.0702345456966559
"2010_6",-93.638925,42.060779,-0.00546507512313147
"2008_4",-93.639062,42.05996,0.0555702792042999
"2006_5",-93.639067,42.059909,0.0527208673941311
"2009_7",-93.639388,42.059956,0.0236578850515332
"2009_8",-93.639915,42.063294,-0.00991170474257864
"2007_10",-93.63988,42.061275,0.023721235545353
"2006_11",-93.637871,42.061407,-0.0748291112465167
"2008_10",-93.637796,42.061231,-0.01583829510222
"2008_5",-93.638775,42.060771,0.105172300689051
"2008_7",-93.638778,42.060822,0.00339627008935026
"2008_11",-93.637482,42.060369,-0.0730315735717632
"2006_2",-93.637482,42.060425,-0.0486018834447822
"2006_7",-93.637566,42.06048,0.0767008205606903
"2007_5",-93.63736,42.060466,-0.0202697329108251
"2008_11",-93.636718,42.060639,0.0319503679006175
"2006_5",-93.636378,42.060736,0.0820752015667925
"2009_6",-93.6364,42.060896,0.0828667725850323
"2008_8",-93.636948,42.0623,-0.126135238775788
"2006_6",-93.636373,42.061879,0.048611633695187
"2006_3",-93.636052,42.062828,0.126813188112777
"2006_8",-93.635967,42.06281,-0.0802652382854728
"2006_1",-93.635935,42.062802,-0.0681297688721677
"2006_6",-93.635837,42.062798,-0.0513688193674476
"2006_5",-93.635798,42.062891,0.0854078085342932
"2009_10",-93.635838,42.062956,0.0946889279526058
"2006_9",-93.635932,42.062956,0.108751624903799
"2009_5",-93.637442,42.060598,0.00850882079448081
"2007_7",-93.636146,42.061664,0.0513384065222573
"2007_8",-93.636972,42.061326,-0.0671479422529584
"2007_3",-93.637189,42.061242,0.0894155281574034
"2007_8",-93.634341,42.063067,-0.00115460192421471
"2009_11",-93.634265,42.062903,0.207139085222896
"2008_8",-93.633876,42.062976,0.0561585251662791
"2010_4",-93.633792,42.062978,0.015145791641507
"2009_10",-93.633739,42.061981,0.0663728920669872
"2008_7",-93.633781,42.061374,-0.00698802928823196
"2009_7",-93.633547,42.061633,0.119429327391833
"2008_10",-93.633905,42.060865,-0.184886849788463
"2010_1",-93.633826,42.060728,-0.0400726775938589
"2008_8",-93.633797,42.06076,-0.106831763912755
"2009_9",-93.633024,42.061178,-0.0234180394455739
"2010_3",-93.632852,42.06112,-0.0334753197773747
"2006_12",-93.631604,42.060625,-0.109664233909079
"2006_7",-93.635716,42.0591,0.135232714684328
"2007_3",-93.636345,42.059592,-0.0347033585089625
"2008_7",-93.639151,42.059408,0.00368868049380544
"2009_2",-93.63921,42.059283,0.0814289496622125
"2007_4",-93.640613,42.058953,-0.0357677111286386
"2007_8",-93.637865,42.059562,-0.0328929695709765
"2007_6",-93.637883,42.059517,-0.0371558434983144
"2009_12",-93.639069,42.059129,-0.0513152866975368
"2009_10",-93.639069,42.059161,0.084643946895969
"2010_6",-93.639068,42.059193,-0.136756005093906
"2007_8",-93.639068,42.059242,0.000574357696824252
"2008_4",-93.639007,42.059364,0.00658986384888303
"2010_4",-93.636947,42.05848,-0.0122650683986853
"2006_5",-93.636949,42.058421,-0.0772499381792551
"2009_5",-93.636955,42.058274,0.0599272687305335
"2009_4",-93.637046,42.058059,0.0889511502877581
"2007_8",-93.637848,42.059293,-0.132996630220435
"2008_6",-93.637763,42.059411,0.0732334293795024
"2009_7",-93.637671,42.059645,0.0229345751016257
"2009_11",-93.635824,42.058194,-0.0324507839254307
"2009_12",-93.635753,42.05793,0.0160444571069029
"2009_3",-93.636822,42.058173,0.070189475763157
"2008_10",-93.636798,42.058445,-0.0998608720145488
"2008_9",-93.637279,42.05701,-0.000334872717926396
"2007_5",-93.637299,42.057006,-0.117113146296147
"2007_7",-93.637917,42.05817,-0.0981252175319411
"2009_7",-93.636047,42.057854,0.0200938867522442
"2007_7",-93.635833,42.057533,-0.0511598588986864
"2010_3",-93.635951,42.057419,0.156273218638203
"2009_5",-93.639325,42.058201,0.0156171591238634
"2006_6",-93.639293,42.058201,-0.099972990230763
"2010_5",-93.638647,42.058151,0.0798513825263677
"2007_3",-93.633329,42.057022,-0.10873776721954
"2010_2",-93.634626,42.057268,-0.212135812276887
"2009_5",-93.634644,42.058747,-0.0689953981906138
"2006_8",-93.634231,42.059599,-0.32679400594752
"2007_10",-93.634513,42.059375,-0.0647284056276359
"2009_8",-93.633245,42.059242,-0.192864530142682
"2007_9",-93.632917,42.059239,-0.103375708533605
"2010_6",-93.632913,42.059169,-0.0874140830948692
"2008_10",-93.632013,42.059518,-0.0927352277258622
"2008_4",-93.631581,42.059636,-0.136215086341421
"2007_10",-93.631622,42.059309,0.00274621509356048
"2007_8",-93.631633,42.059304,-0.0285974140664735
"2006_6",-93.631572,42.059332,0.0957306066460879
"2006_12",-93.632571,42.058136,0.0854121921983507
"2008_7",-93.628831,42.061394,0.0923395172606694
"2006_3",-93.629601,42.060459,0.211961408761779
"2006_9",-93.629337,42.060527,0.188898916731549
"2006_7",-93.629174,42.060516,0.0985266284866504
"2007_7",-93.629016,42.060431,0.1480562410968
"2006_7",-93.628607,42.061478,0.358234573197239
"2006_7",-93.62877,42.061008,0.118521206525325
"2008_6",-93.628901,42.06056,-0.0458663932959683
"2007_7",-93.629075,42.060144,0.0849429463382678
"2008_9",-93.627911,42.060241,0.0928940890791914
"2009_7",-93.627751,42.060265,0.264676463309688
